"Date","Close","Volume"
"03.02.2017",1061.52,114194300
"06.02.2017",1048.32,130928700
"07.02.2017",1052.53,109879600
"08.02.2017",1053.47,133668700
"09.02.2017",1061.43,154424700
"10.02.2017",1064.51,117494800
"13.02.2017",1074.23,117829800
"14.02.2017",1074.8,107985900
"15.02.2017",1076.8,126501900
"16.02.2017",1074.36,108706600
"17.02.2017",1074.6,125931300
"20.02.2017",1080.13,80820290
"21.02.2017",1091.85,114006200
"22.02.2017",1093.87,137293600
"23.02.2017",1088.6,118012200
"24.02.2017",1075.83,160654100
"27.02.2017",1077.63,98644580
"28.02.2017",1078.64,113928100
"01.03.2017",1097.9,159688000
"02.03.2017",1097.53,118964500
"03.03.2017",1094.23,140021900
"06.03.2017",1088.97,130182400
"07.03.2017",1089.42,111091300
"08.03.2017",1089.4,133557600
"09.03.2017",1090.14,144882500
"10.03.2017",1089.75,147678300
"13.03.2017",1092.16,109575900
"14.03.2017",1092.01,145268000
"15.03.2017",1093.86,138197500
"16.03.2017",1100.64,164791700
"17.03.2017",1102.11,253593700
"20.03.2017",1098.37,142159800
"21.03.2017",1089.79,173858700
"22.03.2017",1083.78,150580700
"23.03.2017",1095.83,121405600
"24.03.2017",1098.72,128113500
"27.03.2017",1092.33,121062700
"28.03.2017",1105.8,131746600
"29.03.2017",1110.37,140406000
"30.03.2017",1115.27,123718600
"31.03.2017",1120.8,153438300
"03.04.2017",1116.73,124993600
"04.04.2017",1119.27,154262200
"05.04.2017",1114.6,123625000
"06.04.2017",1115.71,110061700
"07.04.2017",1116.46,106243000
"10.04.2017",1115.4,94307710
"11.04.2017",1110.09,121540700
"12.04.2017",1112.13,107606400
"13.04.2017",1108.55,105697900
"18.04.2017",1099.19,124986100
"19.04.2017",1100.91,118400500
"20.04.2017",1101.6,117029300
"21.04.2017",1102.75,143646300
"24.04.2017",1137.31,238146000
"25.04.2017",1138.79,140120400
"26.04.2017",1139.86,135452600
"27.04.2017",1137.81,149635300
"28.04.2017",1137.78,147460700
"02.05.2017",1145.03,132987600
"03.05.2017",1145.79,121232400
"04.05.2017",1156.91,150290900
"05.05.2017",1162.4,160483100
"08.05.2017",1160.69,147369700
"09.05.2017",1165.78,158693000
"10.05.2017",1166.36,157804300
"11.05.2017",1161.46,158776100
"12.05.2017",1167.38,186047500
"15.05.2017",1171.34,131398200
"16.05.2017",1171.71,128415700
"17.05.2017",1155.56,162499200
"18.05.2017",1151.29,179354800
"19.05.2017",1157.92,165390400
"22.05.2017",1156.72,113859700
"23.05.2017",1160.4,129429400
"24.05.2017",1160.29,110450500
"25.05.2017",1159.63,83613120
"26.05.2017",1158.38,105839400
"29.05.2017",1161.03,60530920
"30.05.2017",1159.05,110032600
"31.05.2017",1159.99,202193400
"01.06.2017",1166.24,128943500
"02.06.2017",1179.57,132871000
"06.06.2017",1168.1,142376000
"07.06.2017",1165.89,165868800
"08.06.2017",1168,146932100
"09.06.2017",1177.08,136073500
"12.06.2017",1164.8,140434100
"13.06.2017",1171.65,117964400
"14.06.2017",1174.93,148703100
"15.06.2017",1164.31,158511400
"16.06.2017",1170.94,286050900
"19.06.2017",1183.03,114148400
"20.06.2017",1176.66,116970100
"21.06.2017",1173.11,109960500
"22.06.2017",1174.33,111288100
"23.06.2017",1168.67,114034500
"26.06.2017",1171.95,101816700
"27.06.2017",1161.71,153648600
"28.06.2017",1158.67,153850900
"29.06.2017",1138.31,169875300
"30.06.2017",1132.19,151270300
"03.07.2017",1145.26,112450500
"04.07.2017",1142.03,97078460
"05.07.2017",1144.17,118793400
"06.07.2017",1137.32,154348400
"07.07.2017",1137.94,119224200
"10.07.2017",1143.88,106919400
"11.07.2017",1143.49,111209200
"12.07.2017",1160.29,155648700
"13.07.2017",1162.52,158179000
"14.07.2017",1162.95,114188000
"17.07.2017",1159.89,95269740
"18.07.2017",1146.27,134617800
"19.07.2017",1148.94,117797600
"20.07.2017",1147.7,156618100
"21.07.2017",1129.88,184891600
"24.07.2017",1126.46,134334300
"25.07.2017",1131.41,124466500
"26.07.2017",1136.49,128952600
"27.07.2017",1130.47,140222000
"28.07.2017",1124.73,129361700
"31.07.2017",1121.34,128653800
"01.08.2017",1133.09,129081900
"02.08.2017",1128.29,130337100
"03.08.2017",1125.89,120821400
"04.08.2017",1138.54,139296000
"07.08.2017",1136.03,106800100
"08.08.2017",1138.99,115050500
"09.08.2017",1126.76,164220400
"10.08.2017",1113.85,155852200
"11.08.2017",1112.27,145093700
"14.08.2017",1126.29,116674600
"15.08.2017",1127.12,100019600
"16.08.2017",1134.9,107805700
"17.08.2017",1130.42,113333400
"18.08.2017",1127.09,131336400
"21.08.2017",1118.84,102334200
"22.08.2017",1132.68,99296520
"23.08.2017",1128.73,102155500
"24.08.2017",1129.04,99129540
"25.08.2017",1128.15,92180830
"28.08.2017",1123.86,59904100
"29.08.2017",1108.2,147973300
"30.08.2017",1114.25,93475460
"31.08.2017",1119.7,131444900
"01.09.2017",1127.35,116099200
"04.09.2017",1123.39,73406980
"05.09.2017",1125.39,107578100
"06.09.2017",1132.32,124494900
"07.09.2017",1140.11,142192400
"08.09.2017",1141.15,100711300
"11.09.2017",1156.8,118599300
"12.09.2017",1161.25,133407700
"13.09.2017",1162.87,126083100
"14.09.2017",1162.67,123106200
"15.09.2017",1160.7,254522200
"18.09.2017",1165.04,97284340
"19.09.2017",1165.77,112807100
"20.09.2017",1166.23,143624300
"21.09.2017",1169.01,147694600
"22.09.2017",1169.16,117543500
"25.09.2017",1169.39,115706200
"26.09.2017",1170.12,116118400
"27.09.2017",1173.95,121345600
"28.09.2017",1179.05,128771700
"29.09.2017",1189.55,150838500
"02.10.2017",1196.67,116534700
"04.10.2017",1202.54,170212000
"05.10.2017",1201.83,122386800
"06.10.2017",1199.76,108183000
"09.10.2017",1200.79,102081100
"10.10.2017",1198.97,107461100
"11.10.2017",1202.07,111853000
"12.10.2017",1204.7,117381200
"13.10.2017",1205.38,106190400
"16.10.2017",1207,89541500
"17.10.2017",1205.47,104485400
"18.10.2017",1209.84,102112000
"19.10.2017",1202.71,127331400
"20.10.2017",1202.54,123866900
"23.10.2017",1203.54,97025280
"24.10.2017",1204.31,134583600
"25.10.2017",1198.89,134388900
"26.10.2017",1215.78,154650200
"27.10.2017",1224.01,149911100
"30.10.2017",1225.58,112058400
"01.11.2017",1245.08,178567500
"02.11.2017",1242.91,144122000
"03.11.2017",1246.85,132922700
"06.11.2017",1246.2,132272200
"07.11.2017",1238.82,145411700
"08.11.2017",1238.83,159760000
"09.11.2017",1220.39,202983900
"10.11.2017",1216.77,179670100
"13.11.2017",1210.89,161237200
"14.11.2017",1209.12,141121300
"15.11.2017",1201.89,194093100
"16.11.2017",1210.49,150335900
"17.11.2017",1206.75,143802400
"20.11.2017",1213.5,134347600
"21.11.2017",1223.97,148745500
